title,author,downloads
Pride and Prejudice,Jane Austen,2098
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,1710
A Journal of the Plague Year,Daniel Defoe,1453
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,1450
"The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,1433
Alice's Adventures in Wonderland,Lewis Carroll,1373
The Call of the Wild,Jack London,1323
Et dukkehjem. English,Henrik Ibsen,1224
A Modest Proposal,Jonathan Swift,1198
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1162
A Tale of Two Cities,Charles Dickens,1093
Treasure Island,Robert Louis Stevenson,1078
The Yellow Wallpaper,Charlotte Perkins Gilman,1064
Ion,Plato,1054
Adventures of Huckleberry Finn,Mark Twain,970
The Adventures of Sherlock Holmes,Arthur Conan Doyle,942
Anthem,Ayn Rand,891
The Adventures of Tom Sawyer,Mark Twain,839
"Moby Dick; Or, The Whale",Herman Melville,825
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,815
Little Women,Louisa May Alcott,803
The Masque of the Red Death,Edgar Allan Poe,747
Metamorphosis,Franz Kafka,725
Heart of Darkness,Joseph Conrad,701
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,696
The Picture of Dorian Gray,Oscar Wilde,688
Emma,Jane Austen,688
The Hound of the Baskervilles,Arthur Conan Doyle,650
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,642
Peter Pan,J. M. Barrie,623
The Decameron of Giovanni Boccaccio,Giovanni Boccaccio,612
Dracula,Bram Stoker,610
"The Awakening, and Selected Short Stories",Kate Chopin,590
Jane Eyre: An Autobiography,Charlotte Brontë,567
The Scarlet Letter,Nathaniel Hawthorne,556
Great Expectations,Charles Dickens,551
War and Peace,graf Leo Tolstoy,518
The Secret Garden,Frances Hodgson Burnett,512
Il Principe. English,Niccolò Machiavelli,512
The War of the Worlds,H. G. Wells,503
Beowulf: An Anglo-Saxon Epic Poem,NA,494
The Wonderful Wizard of Oz,L. Frank Baum,484
"The Count of Monte Cristo, Illustrated",Alexandre Dumas,481
Anne of Green Gables,L. M. Montgomery,478
Ulysses,James Joyce,478
"The Memoirs, Correspondence, And Miscellanies, From The Papers Of Thomas Jefferson",Jefferson,461
The Mysterious Affair at Styles,Agatha Christie,431
Oliver Twist,Charles Dickens,430
Pygmalion,Bernard Shaw,420
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,415
Dubliners,James Joyce,414
Prestuplenie i nakazanie. English,Fyodor Dostoyevsky,403
Wuthering Heights,Emily Brontë,389
Siddhartha,Hermann Hesse,386
The Brothers Karamazov,Fyodor Dostoyevsky,373
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,368
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,364
Les Misérables,Victor Hugo,353
The Kama Sutra of Vatsyayana,Vatsyayana,349
The Republic,Plato,348
The Time Machine,H. G. Wells,345
The Souls of Black Folk,W. E. B. Du Bois,324
A Study in Scarlet,Arthur Conan Doyle,323
Essays of Michel de Montaigne — Complete,Michel de Montaigne,317
Also sprach Zarathustra. English,Friedrich Wilhelm Nietzsche,314
Uncle Tom's Cabin,Harriet Beecher Stowe,312
The Jungle Book,Rudyard Kipling,309
The Jungle,Upton Sinclair,307
The Devil's Dictionary,Ambrose Bierce,307
The Prophet,Kahlil Gibran,305
Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,298
"The Slang Dictionary: Etymological, Historical and Andecdotal",John Camden Hotten,297
Postscripts,O. Henry,291
White Fang,Jack London,287
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,286
The Odyssey,Homer,286
"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,285
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,284
The Tale of Peter Rabbit,Beatrix Potter,278
Leviathan,Thomas Hobbes,276
The Life and Adventures of Robinson Crusoe,Daniel Defoe,273
Hard Times,Charles Dickens,269
Alice's Adventures in Wonderland,Lewis Carroll,261
The Valley of the Shadow,H. C. McNeile,261
The Iliad,Homer,261
Don Quixote,Miguel de Cervantes Saavedra,261
The Sign of the Four,Arthur Conan Doyle,261
Anna Karenina,graf Leo Tolstoy,258
Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,256
David Copperfield,Charles Dickens,256
Experimental Mechanics,Robert S. Ball,256
Sense and Sensibility,Jane Austen,253
The Legend of Sleepy Hollow,Washington Irving,250
La Navigation Aérienne L'aviation Et La Direction Des Aérostats Dans Les Temps Anciens Et Modernes,NA,244
Index of Project Gutenberg Works on Black History,Various,244
Geschlecht und Charakter. English,Otto Weininger,243
The Turn of the Screw,Henry James,230
Candide,Voltaire,227
An Index of The Divine Comedy by Dante,Dante Alighieri,225
Second Treatise of Government,John Locke,224
