participant,feature,est,true,band
10,PLCW.6.5,3,1.571,Band 01
10,PLCY.6.A,15,1.971,Band 01
10,PLCZ.3.2,8,2.1,Band 01
10,PUCX.4.b,5,1.096,Band 01
10,PUCC.8.7,30,1.104,Band 01
10,PUCF.8.7,30,1.132,Band 01
10,CLCO.6.c,3,1.376,Band 01
10,CLCG.6.a,30,1.386,Band 01
10,CLCi.8.d,10,1.595,Band 01
10,CUCA.1.1,3,1.051,Band 01
10,CUCA.6.5,3,1.053,Band 01
10,CUCZ.5.a,1,1.053,Band 01
10,PLCG.7.b,60,23.57,Band 25
10,PLCG.5.4,60,26.36,Band 25
10,PLCA.3.2,40,26.686,Band 25
10,PUCY.3.2,70,24.6,Band 25
10,PUCC.2.1,30,24.91,Band 25
10,PUCG.2.1,40,26.72,Band 25
10,CLCO.4.a,40,25.459,Band 25
10,CLCJ.3.2,90,26.127,Band 25
10,CLCJ.6.5,20,26.127,Band 25
10,CUCT.15.14,30,24.805,Band 25
10,CUCB.2.1,9,25.995,Band 25
10,CUCG.1.2,50,26.123,Band 25
10,PLCM.6.5,60,48.005,Band 50
10,PLCD.7.6,80,49.275,Band 50
10,PLCY.3.2,90,51.38,Band 50
10,PUCN.6.5,95,49.814,Band 50
10,PUCB.6.5,13,50.613,Band 50
10,PUCQ.2.1,80,50.677,Band 50
10,CLCW.9.8,85,50.46,Band 50
10,CLCI.5.8,30,50.797,Band 50
10,CLCF.6.5,70,50.928,Band 50
10,CUCH.2.1,70,49.272,Band 50
10,CUCO.2.1,80,49.533,Band 50
10,CUCJ.9.8,50,51.663,Band 50
10,PLCN.4.3,90,76.011,Band 75
10,PLCD.9.8,50,76.285,Band 75
10,PLCA.2.1,85,79.627,Band 75
10,PUCG.4.3,90,71.324,Band 75
10,PUCJ.3.2,70,71.902,Band 75
10,PUCI.13.2,90,78.272,Band 75
10,CLCR.2.1,40,76.014,Band 75
10,CLCF.2.1,80,79.814,Band 75
10,CLCM.3.2,30,77.892,Band 75
10,CUCH.18.10,90,74.272,Band 75
10,CUCK.4.3,60,74.789,Band 75
10,CUCH.28.18,60,76.335,Band 75
10,PLCE.2.1,90,97.835,Band 99
10,PLCV.2.1,90,98.698,Band 99
10,PLCT.2.1,80,98.943,Band 99
10,PUCA.2.1,80,97.686,Band 99
10,PUCT.2.1,80,98.293,Band 99
10,PUCK.2.1,60,98.657,Band 99
10,CLCi.4.3,90,97.38,Band 99
10,CLCU.3.2,90,97.468,Band 99
10,CLCE.2.1,95,99.088,Band 99
10,CUCH.10.5,90,80.218,Band 75
10,CUCW.8.7,50,85.151,Band 75
10,CUCC.3.2,90,94.484,Band 99
