participant,handwriting_expert,us,condition,age,forensic_scientist,forensic_specialty,handwriting_reports,confidence,familiarity,feature,est,true,band
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCW.6.5,1,1.571,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCY.6.A,60,1.971,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCZ.3.2,1,2.1,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCX.4.b,2,1.096,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCC.8.7,5,1.104,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCF.8.7,5,1.132,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCO.6.c,1,1.376,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCG.6.a,20,1.386,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCi.8.d,3,1.595,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCA.1.1,4,1.051,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCA.6.5,10,1.053,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCZ.5.a,2,1.053,Band 01
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCG.7.b,90,23.57,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCG.5.4,50,26.36,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCA.3.2,20,26.686,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCY.3.2,40,24.6,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCC.2.1,10,24.91,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCG.2.1,15,26.72,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCO.4.a,70,25.459,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCJ.3.2,100,26.127,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCJ.6.5,40,26.127,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCT.15.14,70,24.805,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCB.2.1,5,25.995,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCG.1.2,50,26.123,Band 25
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCM.6.5,40,48.005,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCD.7.6,80,49.275,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCY.3.2,70,51.38,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCN.6.5,90,49.814,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCB.6.5,15,50.613,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCQ.2.1,30,50.677,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCW.9.8,90,50.46,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCI.5.8,2,50.797,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCF.6.5,55,50.928,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.2.1,70,49.272,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCO.2.1,50,49.533,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCJ.9.8,50,51.663,Band 50
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCN.4.3,60,76.011,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCD.9.8,40,76.285,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCA.2.1,50,79.627,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCG.4.3,30,71.324,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCJ.3.2,50,71.902,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCI.13.2,15,78.272,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCR.2.1,15,76.014,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCF.2.1,15,79.814,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCM.3.2,70,77.892,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.18.10,70,74.272,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCK.4.3,60,74.789,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.28.18,70,76.335,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCE.2.1,90,97.835,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCV.2.1,99,98.698,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCT.2.1,90,98.943,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCA.2.1,5,97.686,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCT.2.1,85,98.293,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCK.2.1,99,98.657,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCi.4.3,80,97.38,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCU.3.2,90,97.468,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCE.2.1,90,99.088,Band 99
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.10.5,90,80.218,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCW.8.7,70,85.151,Band 75
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCC.3.2,NA,NA,Band NA
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCW.6.5,0.1,1.571,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCY.6.A,2,1.971,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCZ.3.2,0.1,2.1,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCX.4.b,1,1.096,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCC.8.7,20,1.104,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCF.8.7,50,1.132,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCO.6.c,0.1,1.376,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCG.6.a,0.5,1.386,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCi.8.d,0.1,1.595,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCA.1.1,1,1.051,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCA.6.5,0.1,1.053,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCZ.5.a,0.1,1.053,Band 01
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCG.7.b,20,23.57,Band 25
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCG.5.4,5,26.36,Band 25
